v1,iso3c,year,code_country,ref_y,country,cbi_g,imf,tyh_vote,tyh_seats,dalton_vote,dalton_seats,knutsen_vote,knutsen_seats,vdem_pol,dalton_op,election,gdppc,gdp_growth,inflation,unemployment,gini,pr_system,idea_es_legislature,idea_es_president,lib_dem_index,elect_dem_index,legislativesize,dist_mag_mean,gcdodtotlgdzs,longitude,latitude,income,lending,gdppc_wb,gdpgrowth_wb,gdpconstant_wb,domesticcredit,debt,currentacc,pop,trade,fdi,spending,vol_growth,log_inflation,pol_sq,ln_inflation,log_gdp,vol_inf,vol_spending
1,ARG,1992,1,0,Argenti,0.80255,0.00000,,,,,,,-0.011,,0,12267.1,6.488,24.9,6.36,45.5,PR,List PR,FPTP,0.622,0.831,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,9338.699,7.937292,3.13E+11,15.44534,,-2.424839,65.54674,14.73098,1.936712,2.975538,,3.214868,0.000121,3.214868,26.46985,,
2,ARG,1993,1,0,Argenti,0.80255,0.00000,,,,,,,-0.011,,1,12926.8,6.803,18512,10.1,44.9,PR,List PR,FPTP,0.623,0.832,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,9974.005,8.206979,3.39E+11,18.28461,,-3.466178,65.01801,16.22315,1.179803,13.51038,0.2696872,9.826175,0.000121,9.826175,26.54873,18487.1,10.53484
3,ARG,1994,1,0,Argenti,0.80255,0.00000,,,,,,,-0.011,,0,13571.4,4.505,4177,11.76,45.9,PR,List PR,FPTP,0.628,0.84,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,10423.38,5.836201,3.59E+11,20.28058,,-4.264859,64.46805,18.13435,1.411953,13.1869,2.370778,8.337349,0.000121,8.337349,26.60545,14335,0.3234749
4,ARG,1995,1,1,Argenti,0.80255,0.00000,0.557,0.368,1.658,1.349,0.564,0.48,-0.011,3.668,1,13086,-4.032,3376,18.8,48.9,PR,List PR,TRS,0.63,0.837,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,10003.09,-2.84521,3.48E+11,19.96061,,-1.98346,63.97961,19.77142,2.173928,13.34946,8.68141,8.124447,0.000121,8.124447,26.57659,801,0.1625519
5,ARG,1996,1,0,Argenti,0.80255,1.00000,0.557,0.368,1.658,1.349,0.564,0.48,-0.011,3.548,0,13715.2,4.275,0.16,17.11,49.5,PR,List PR,TRS,0.619,0.831,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,10430.68,5.52669,3.68E+11,20.187,,-2.487593,63.5704,21.50647,2.553203,12.50168,8.3719,-1.832582,0.000121,-1.832582,26.63038,3375.84,0.8477783
6,ARG,1997,1,1,Argenti,0.80255,0.00000,0.769,1.395,1.708,3.099,0.693,1.122,-0.011,3.787,1,14722.7,6.865,0.53,14.82,49.1,PR,List PR,TRS,0.619,0.831,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,11146.72,8.111047,3.98E+11,21.93346,,-4.14468,63.15466,23.33618,3.127878,12.06201,2.584357,-0.6348783,0.000121,-0.6348783,26.70837,0.37,0.4396629
7,ARG,1998,1,0,Argenti,0.80255,0.00000,0.769,1.395,1.708,3.099,0.693,1.122,-0.011,4.706,0,15186,2.681,0.93,12.65,50.7,PR,List PR,TRS,0.625,0.83,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,11445.56,3.850179,4.13E+11,24.1533,,-4.844316,62.73488,23.35003,2.438769,12.49477,4.260868,-0.0725707,0.000121,-0.0725707,26.74615,0.4,0.4327602
8,ARG,1999,1,0,Argenti,0.80255,0.00000,,,,,,,-0.011,4.706,1,14577.8,-4.455,-1.67,14.05,49.8,PR,List PR,TRS,0.624,0.83,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,10935.64,-3.385457,3.99E+11,24.89334,,-4.212295,62.28345,21.38275,8.460582,13.72321,7.235636,,0.000121,,26.71171,2.6,1.228436
9,ARG,2000,1,0,Argenti,0.80255,1.00000,,,,,,,-0.011,3.651,0,14368.9,-1.875,-0.94,15,51.1,PR,List PR,TRS,0.657,0.84,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,10730.61,-0.788999,3.96E+11,23.89473,,-3.159922,61.7883,22.62244,3.665791,13.78419,2.596458,,0.000121,,26.70378,0.73,0.0609798
10,ARG,2001,1,0,Argenti,0.80255,1.00000,,,,,,,-0.011,3.753,1,13652,-5.447,-1.06,17.32,53.3,PR,List PR,TRS,0.669,0.839,257,10.7,,-58.4173,-34.6118,Upper middle income,IBRD,10146.11,-4.40884,3.78E+11,20.83357,,-1.406948,61.23717,21.85225,0.8061641,14.15627,3.619841,,0.000121,,26.6587,0.1199999,0.3720827
