Code_Country,Ref_Y,Year,Country,Country1,TyH_Vote,TyH_Seats,Dalton_Vote,Dalton_Seats,Knutsen_Vote,Knutsen_Seats,VDEM_pol,Dalton_OP,election,party_replacement_v,Volat_A_Cohen_2pct,Volat_A_Cohen_5pct,Volat_A_Cohen_7pct,stable_party_v,Volat_B_Cohen_2pct,Volat_B_Cohen_5pct,Volat_B_Cohen_7pct,volatility,Evolat_Cohen_2pct,Evolat_Cohen_5pct,Evolat_Cohen_7pct,Volat_A_Schmidt,Volat_B_Schmidt,Evolat_Schmidt,Enph_Schmidt,gdppc,gdp_growth,inflation,unemployment,gini,PR_system,IDEA_ES_Legislature,IDEA_ES_President,Lib_Dem_Index,Elect_Dem_Index,Legislative size,Dist_Mag_mean
1,0,1992,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,NA,0,0.342,0.215,0.168,0.083,0.25,0.235,0.235,0.235,0.592,0.449,0.403,0.318,NA,NA,NA,3.15,12267.1,6.488,24.9,6.36,45.5,PR,List PR,FPTP,0.622,0.831,257,10.7
1,0,1993,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,NA,1,0.132,0.034,0,0,0.129,0.078,0.062,0.051,0.261,0.112,0.062,0.051,6.35,15.76,22.11,2.859,12926.8,6.803,18512,10.1,44.9,PR,List PR,FPTP,0.623,0.832,257,10.7
1,0,1994,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,NA,0,0.132,0.034,0,0,0.129,0.078,0.062,0.051,0.261,0.112,0.062,0.051,NA,NA,22.11,2.859,13571.4,4.505,4177,11.76,45.9,PR,List PR,FPTP,0.628,0.84,257,10.7
1,1,1995,Argentina,ARG,0.557,0.368,1.658,1.349,0.564,0.48,-0.011,3.668,1,0.278,0.196,0.196,0.196,0.213,0.157,0.148,0.148,0.491,0.353,0.344,0.344,20.53,12.97,33.5,2.864,13086,-4.032,3376,18.8,48.9,PR,List PR,TRS,0.63,0.837,257,10.7
1,0,1996,Argentina,ARG,0.557,0.368,1.658,1.349,0.564,0.48,-0.011,3.548,0,0.278,0.196,0.196,0.196,0.213,0.157,0.148,0.148,0.491,0.353,0.344,0.344,20.53,12.97,33.5,2.864,13715.2,4.275,0.16,17.11,49.5,PR,List PR,TRS,0.619,0.831,257,10.7
1,1,1997,Argentina,ARG,0.769,1.395,1.708,3.099,0.693,1.122,-0.011,3.787,1,0.397,0.265,0.25,0.25,0.319,0.188,0.188,0.112,0.716,0.453,0.438,0.362,20.53,12.97,33.5,2.489,14722.7,6.865,0.53,14.82,49.1,PR,List PR,TRS,0.619,0.831,257,10.7
1,0,1998,Argentina,ARG,0.769,1.395,1.708,3.099,0.693,1.122,-0.011,4.706,0,0.397,0.265,0.25,0.25,0.319,0.188,0.188,0.112,0.716,0.453,0.438,0.362,20.53,12.97,33.5,2.489,15186,2.681,0.93,12.65,50.7,PR,List PR,TRS,0.625,0.83,257,10.7
1,0,1999,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,4.706,1,0.329,0.208,0.208,0.182,0.139,0.105,0.091,0.034,0.468,0.313,0.299,0.217,56.05,5.85,61.9,2.564,14577.8,-4.455,-1167,14.05,49.8,PR,List PR,TRS,0.624,0.83,257,10.7
1,0,2000,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,3.651,0,0.329,0.208,0.208,0.182,0.139,0.105,0.091,0.034,0.468,0.313,0.299,0.217,56.05,5.85,61.9,2.564,14368.9,-1.875,-0.94,15,51.1,PR,List PR,TRS,0.657,0.84,257,10.7
1,0,2001,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,3.753,1,0.373,0.185,0.124,0.1,0.339,0.287,0.257,0.257,0.712,0.471,0.382,0.356,56.05,5.85,61.9,2.824,13652,-5.447,-1065,17.32,53.3,PR,List PR,TRS,0.669,0.839,257,10.7
1,0,2002,Argentina,ARG,NA,NA,NA,NA,NA,NA,-0.011,4.208,0,0.373,0.185,0.124,0.1,0.339,0.287,0.257,0.257,0.712,0.471,0.382,0.356,56.05,5.85,61.9,2.824,12094.8,-11.855,25869,19.59,53.8,PR,List PR,TRS,0.663,0.835,257,10.7
1,1,2003,Argentina,ARG,0.214,0.851,0.474,1.892,0.302,0.863,0.384,3.629,1,0.446,0.196,0.052,0.052,0.126,0.043,0.041,0.041,0.572,0.24,0.093,0.093,28.9,5.95,34.85,3.497,13088.6,7.677,13443,15.36,50.9,PR,List PR,TRS,0.648,0.813,257,10.7
1,0,2004,Argentina,ARG,0.214,0.851,0.474,1.892,0.302,0.863,0.384,3.631,0,0.446,0.196,0.052,0.052,0.126,0.043,0.041,0.041,0.572,0.24,0.093,0.093,28.9,5.95,34.85,3.497,14183.2,7.885,4416,13.52,48.4,PR,List PR,TRS,0.649,0.812,257,10.7
1,0,2005,Argentina,ARG,NA,NA,NA,NA,NA,NA,0.796,4.023,1,0.342,0.127,0.032,0,0.31,0.263,0.255,0.24,0.653,0.39,0.287,0.24,28.9,5.95,34.85,2.747,15344.2,7.729,9642,11.51,47.7,PR,List PR,TRS,0.641,0.808,257,10.7
1,0,2006,Argentina,ARG,NA,NA,NA,NA,NA,NA,0.796,3.403,0,0.342,0.127,0.032,0,0.31,0.263,0.255,0.24,0.653,0.39,0.287,0.24,28.9,5.95,34.85,2.747,16490.5,6.956,10898,10.08,46.3,PR,List PR,TRS,0.624,0.788,257,10.7
1,1,2007,Argentina,ARG,0.16,0.405,0.889,1.414,0.194,0.407,0.796,3.479,1,0.325,0.116,0.049,0.049,0.156,0.087,0.041,0.009,0.481,0.203,0.09,0.058,22.91,26.54,49.45,2.918,17891.9,7.924,8.83,8.47,46.2,PR,List PR,TRS,0.621,0.79,257,10.7
1,0,2008,Argentina,ARG,0.16,0.405,0.889,1.414,0.194,0.407,0.796,3.596,0,0.325,0.116,0.049,0.049,0.156,0.087,0.041,0.009,0.481,0.203,0.09,0.058,22.91,26.54,49.45,2.918,18520.3,3.029,8585,7.84,44.9,PR,List PR,TRS,0.606,0.784,257,10.7
1,1,2009,Argentina,ARG,0.216,0.665,1.032,1.813,0.29,0.666,0.796,4.032,1,0.572,0.364,0.288,0.288,0.219,0.164,0.132,0.132,0.791,0.529,0.419,0.419,22.91,26.54,49.45,3.072,17329,-6.854,6.27,8.65,43.7,PR,List PR,TRS,0.602,0.779,257,10.7
1,0,2010,Argentina,ARG,0.216,0.665,1.032,1.813,0.29,0.666,0.796,3.661,0,0.572,0.364,0.288,0.288,0.219,0.164,0.132,0.132,0.791,0.529,0.419,0.419,22.91,26.54,49.45,3.63,18980,9.3,10649,7.71,43.6,PR,List PR,TRS,0.599,0.773,257,10.7
1,1,2011,Argentina,ARG,0.438,0.364,1.471,1.341,0.402,0.21,0.796,3.766,1,0.859,0.739,0.62,0.592,0.049,0.018,0.009,0,0.908,0.757,0.629,0.592,20.88,7.46,28.34,3.042,20003,4.789,NA,7.18,42.6,PR,List PR,TRS,0.594,0.774,257,10.7
