,iso3c,year,Code_Country,Ref_Y,Country,TyH_Vote,TyH_Seats,Dalton_Vote,Dalton_Seats,Knutsen_Vote,Knutsen_Seats,VDEM_pol,Dalton_OP,election,party_replacement_v,Volat_A_Cohen_2pct,Volat_A_Cohen_5pct,Volat_A_Cohen_7pct,stable_party_v,Volat_B_Cohen_2pct,Volat_B_Cohen_5pct,Volat_B_Cohen_7pct,volatility,Evolat_Cohen_2pct,Evolat_Cohen_5pct,Evolat_Cohen_7pct,Volat_A_Schmidt,Volat_B_Schmidt,Evolat_Schmidt,Enph_Schmidt,gdppc,gdp_growth,inflation,unemployment,gini,PR_system,IDEA_ES_Legislature,IDEA_ES_President,Lib_Dem_Index,Elect_Dem_Index,Legislative.size,Dist_Mag_mean,iso2c,country,GC.DOD.TOTL.GD.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.KD,FS.AST.PRVT.GD.ZS,BN.CAB.XOKA.GD.ZS,SP.POP.DPND,NY.GDP.PCAP.KD,NE.TRD.GNFS.ZS,BX.KLT.DINV.WD.GD.ZS,NE.CON.GOVT.ZS,region,capital,longitude,latitude,income,lending,gdppc_wb,gdpgrowth_wb,gdpconstant_wb,domesticcredit,debt,currentacc,pop,trade,fdi,spending
1,ARG,1992,1,0,Argenti,,,,,,,-0.011,,0,0.342,0.215,0.168,0.083,0.25,0.235,0.235,0.235,0.592,0.449,0.403,0.318,,,,3.15,12267.1,6.488,24.9,6.36,45.5,PR,List PR,FPTP,0.622,0.831,257,10.7,AR,Argenti,,7.937291556,3.1312E+11,15.44533545,-2.424838537,65.54673401,9338.699517,14.73098059,1.936712402,2.975538028,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,9338.699517,7.937291556,3.1312E+11,15.44533545,,-2.424838537,65.54673401,14.73098059,1.936712402,2.975538028
2,ARG,1993,1,0,Argenti,,,,,,,-0.011,,1,0.132,0.034,0,0,0.129,0.078,0.062,0.051,0.261,0.112,0.062,0.051,6.35,15.76,22.11,2.859,12926.8,6.803,18512,10.1,44.9,PR,List PR,FPTP,0.623,0.832,257,10.7,AR,Argenti,,8.206979072,3.38818E+11,18.28460493,-3.466178295,65.01800401,9974.004419,16.22315145,1.179802812,13.51037847,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,9974.004419,8.206979072,3.38818E+11,18.28460493,,-3.466178295,65.01800401,16.22315145,1.179802812,13.51037847
3,ARG,1994,1,0,Argenti,,,,,,,-0.011,,0,0.132,0.034,0,0,0.129,0.078,0.062,0.051,0.261,0.112,0.062,0.051,,,22.11,2.859,13571.4,4.505,4177,11.76,45.9,PR,List PR,FPTP,0.628,0.84,257,10.7,AR,Argenti,,5.836200704,3.58592E+11,20.280578,-4.264858985,64.46804452,10423.37888,18.13434587,1.411953029,13.18690437,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,10423.37888,5.836200704,3.58592E+11,20.280578,,-4.264858985,64.46804452,18.13434587,1.411953029,13.18690437
4,ARG,1995,1,1,Argenti,0.557,0.368,1.658,1.349,0.564,0.48,-0.011,3.668,1,0.278,0.196,0.196,0.196,0.213,0.157,0.148,0.148,0.491,0.353,0.344,0.344,20.53,12.97,33.5,2.864,13086,-4.032,3376,18.8,48.9,PR,List PR,TRS,0.63,0.837,257,10.7,AR,Argenti,,-2.845209611,3.48389E+11,19.96060756,-1.983460274,63.97960595,10003.09169,19.77142309,2.17392759,13.34945568,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,10003.09169,-2.845209611,3.48389E+11,19.96060756,,-1.983460274,63.97960595,19.77142309,2.17392759,13.34945568
5,ARG,1996,1,0,Argenti,0.557,0.368,1.658,1.349,0.564,0.48,-0.011,3.548,0,0.278,0.196,0.196,0.196,0.213,0.157,0.148,0.148,0.491,0.353,0.344,0.344,20.53,12.97,33.5,2.864,13715.2,4.275,0.16,17.11,49.5,PR,List PR,TRS,0.619,0.831,257,10.7,AR,Argenti,,5.526689827,3.67644E+11,20.18700183,-2.487593011,63.57040223,10430.68249,21.50646841,2.553203406,12.50167766,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,10430.68249,5.526689827,3.67644E+11,20.18700183,,-2.487593011,63.57040223,21.50646841,2.553203406,12.50167766
6,ARG,1997,1,1,Argenti,0.769,1.395,1.708,3.099,0.693,1.122,-0.011,3.787,1,0.397,0.265,0.25,0.25,0.319,0.188,0.188,0.112,0.716,0.453,0.438,0.362,20.53,12.97,33.5,2.489,14722.7,6.865,0.53,14.82,49.1,PR,List PR,TRS,0.619,0.831,257,10.7,AR,Argenti,,8.111046771,3.97464E+11,21.93345876,-4.144680066,63.15465761,11146.72103,23.33617884,3.127877939,12.06201425,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,11146.72103,8.111046771,3.97464E+11,21.93345876,,-4.144680066,63.15465761,23.33617884,3.127877939,12.06201425
7,ARG,1998,1,0,Argenti,0.769,1.395,1.708,3.099,0.693,1.122,-0.011,4.706,0,0.397,0.265,0.25,0.25,0.319,0.188,0.188,0.112,0.716,0.453,0.438,0.362,20.53,12.97,33.5,2.489,15186,2.681,0.93,12.65,50.7,PR,List PR,TRS,0.625,0.83,257,10.7,AR,Argenti,,3.850178852,4.12767E+11,24.15329877,-4.844316045,62.73488201,11445.56494,23.35002797,2.438768962,12.494775,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,11445.56494,3.850178852,4.12767E+11,24.15329877,,-4.844316045,62.73488201,23.35002797,2.438768962,12.494775
8,ARG,1999,1,0,Argenti,,,,,,,-0.011,4.706,1,0.329,0.208,0.208,0.182,0.139,0.105,0.091,0.034,0.468,0.313,0.299,0.217,56.05,5.85,61.9,2.564,14577.8,-4.455,-1167,14.05,49.8,PR,List PR,TRS,0.624,0.83,257,10.7,AR,Argenti,,-3.385457041,3.98793E+11,24.89334375,-4.212295062,62.28345388,10935.64459,21.38274496,8.460582171,13.72321141,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,10935.64459,-3.385457041,3.98793E+11,24.89334375,,-4.212295062,62.28345388,21.38274496,8.460582171,13.72321141
9,ARG,2000,1,0,Argenti,,,,,,,-0.011,3.651,0,0.329,0.208,0.208,0.182,0.139,0.105,0.091,0.034,0.468,0.313,0.299,0.217,56.05,5.85,61.9,2.564,14368.9,-1.875,-0.94,15,51.1,PR,List PR,TRS,0.657,0.84,257,10.7,AR,Argenti,,-0.788998939,3.95646E+11,23.89473362,-3.159922377,61.78829553,10730.60822,22.62244478,3.665790595,13.78419131,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,10730.60822,-0.788998939,3.95646E+11,23.89473362,,-3.159922377,61.78829553,22.62244478,3.665790595,13.78419131
10,ARG,2001,1,0,Argenti,,,,,,,-0.011,3.753,1,0.373,0.185,0.124,0.1,0.339,0.287,0.257,0.257,0.712,0.471,0.382,0.356,56.05,5.85,61.9,2.824,13652,-5.447,-1065,17.32,53.3,PR,List PR,TRS,0.669,0.839,257,10.7,AR,Argenti,,-4.408839683,3.78203E+11,20.83357465,-1.406947885,61.23716927,10146.10682,21.85225545,0.806164135,14.15627431,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD,10146.10682,-4.408839683,3.78203E+11,20.83357465,,-1.406947885,61.23716927,21.85225545,0.806164135,14.15627431
